title,year,genres,avg rating,rating,tags
Zero de conduite (Zero for Conduct) (Zéro de conduite: Jeunes diables au collège),1933,Comedy,4,4,N/A
"Testament of Dr. Mabuse, The (Das Testament des Dr. Mabuse)",1933,Crime,4,4,N/A
Alice in Wonderland,1933,Adventure,4,4,N/A
Duck Soup,1933,Comedy,3.8,5.0|4.0|4.0|5.0|5.0|1.5|5.0|4.5|3.0|2.0|4.0|4.0|4.0|4.0|5.0|4.0|5.0|3.0|4.0|2.5|4.0|4.0|1.0,N/A
King Kong,1933,Action,3.64,4.0|5.0|4.5|3.0|4.0|3.0|5.0|4.0|2.0|4.0|3.5|3.5|4.0|4.0|5.0|5.0|3.0|2.0|1.5|3.0|4.0|3.0|3.0|5.0|3.0,N/A
"Invisible Man, The",1933,Horror,3.5,3.0|4.0,invisibility
Dinner at Eight,1933,Comedy,3.5,3.5,N/A
Gold Diggers of 1933,1933,Musical,3.5,3.5,N/A
Flying Down to Rio,1933,Comedy,3,3,astaire and rogers
Sons of the Desert,1933,Comedy,3,3,N/A
Babes in Toyland,1934,Children,5,5,N/A
"Atalante, L'",1934,Comedy,4.5,4.5,N/A
Chapayev,1934,Drama,4.5,4.5,N/A
It Happened One Night,1934,Comedy,4.32,3.0|4.0|5.0|5.0|4.0|5.0|4.0|4.0|4.5|3.0|5.0|5.0|4.0|5.0,screwball
Triumph of the Will (Triumph des Willens),1934,Documentary,4.17,3.5|5.0|4.0,N/A
"Thin Man, The",1934,Comedy,3.86,3.0|4.0|4.5|5.0|2.5|4.0|4.0,nick and nora charles
"Man Who Knew Too Much, The",1934,Drama,3.67,4.0|3.0|4.0,N/A
"Gay Divorcee, The",1934,Comedy,3.5,3.0|4.0,divorce
Of Human Bondage,1934,Drama,3.5,3.5,N/A
Man of Aran,1934,Documentary,3.5,3.5,N/A
Man on the Flying Trapeze,1935,Comedy,4.5,4.5,N/A
Mutiny on the Bounty,1935,Adventure,4.17,4.0|5.0|4.0|4.0|4.0|4.0,ships
"Night at the Opera, A",1935,Comedy,4.11,4.0|4.5|3.5|4.0|5.0|3.5|3.5|4.5|4.5,marx brothers|opera
Top Hat,1935,Comedy,4.07,4.0|5.0|5.0|3.0|4.5|3.0|4.0,astaire and rogers
"39 Steps, The",1935,Drama,4.05,2.0|5.0|5.0|4.0|4.5|4.5|3.5|4.0|4.0|4.0|4.0,fugitive
"Tale of Two Cities, A",1935,Drama,4,4,dickens
Roberta,1935,Comedy,4,4,astaire and rogers
Captain Blood,1935,Action,4,4.0|4.0,swashbuckler
Alice Adams,1935,Comedy,3.5,3.5,class
"Midsummer Night's Dream, A",1935,Comedy,3.5,3.5,N/A
Anna Karenina,1935,Drama,3.5,3.5|3.5,N/A
Gold Diggers of 1935,1935,Comedy,3.5,3.5,N/A
"Bride of Frankenstein, The (Bride of Frankenstein)",1935,Drama,3.17,3.0|3.5|3.0,N/A
Little Lord Fauntleroy,1936,Drama,4,4,N/A
Swing Time,1936,Comedy,4,4,astaire and rogers
Camille,1936,Drama,4,4,N/A
San Francisco,1936,Drama,4,4,N/A
My Man Godfrey,1936,Comedy,3.75,1.5|5.0|3.5|5.0,homeless|butler|screwball
Follow the Fleet,1936,Comedy,3.75,4.0|3.5,astaire and rogers
Modern Times,1936,Comedy,3.72,4.0|3.0|3.0|3.5|5.0|3.0|1.0|4.5|3.5|5.0|4.0|4.0|4.5|3.0|3.0|4.0|4.0|3.5|3.5|4.0|4.5|4.0|3.5|4.0|4.0,factory
"Great Ziegfeld, The",1936,Drama,3.5,3.5,N/A
Libeled Lady,1936,Comedy,3.5,3.5,N/A
Mr. Deeds Goes to Town,1936,Comedy,3.5,3.5|3.5,N/A
Winds of the Wasteland,1936,Western,3.5,3.5,N/A
Fury,1936,Drama,3.38,4.5|4.5|0.5|4.0,revenge
Sabotage,1936,Thriller,3.25,3.0|3.5,N/A
Secret Agent,1936,Thriller,3,3,N/A
Mary of Scotland,1936,Drama,3,3,N/A
Anthony Adverse,1936,Adventure,3,3,N/A
After the Thin Man,1936,Comedy,2.83,4.0|4.0|0.5,nick and nora charles
"General Died at Dawn, The",1936,Adventure,0.5,0.5,N/A
"Awful Truth, The",1937,Comedy,4.75,5.0|4.5,screwball
Shall We Dance,1937,Comedy,4.5,5.0|5.0|4.0|4.0,astaire and rogers
You Only Live Once,1937,Crime,4.5,4.5,fugitive
Stage Door,1937,Drama,4.17,4.5|4.0|4.0,show business
Lost Horizon,1937,Drama,4,4.0|4.0|4.0,shangri-la
"Good Earth, The",1937,Drama,4,4.0|4.0,pearl s buck
"Day at the Races, A",1937,Comedy,4,3.5|5.0|3.5,N/A
Captains Courageous,1937,Adventure,4,4,N/A
Grand Illusion (La grande illusion),1937,Drama,3.71,5.0|2.0|4.0|5.0|3.0|4.0|3.0,downbeat|poignant
Snow White and the Seven Dwarfs,1937,Animation,3.62,5.0|4.0|5.0|3.0|5.0|4.0|4.0|5.0|3.0|3.0|3.0|4.0|3.0|4.0|3.0|5.0|3.0|4.5|3.0|4.0|4.0|4.0|4.0|3.0|3.0|2.5|5.0|4.0|3.0|3.5|4.0|3.0|4.5|3.5|3.0|2.5|3.0|3.5|4.0|3.0|4.0|5.0|4.0|2.0|3.0|4.0|4.0|4.0|4.0|4.0|4.0|3.0|4.0|3.0|3.5|3.5|5.0|3.5|3.0|3.0|3.5|4.0|1.5|5.0|4.0|4.0|3.0|3.0|2.0|5.0|3.0|4.0|3.5|3.0|3.0|3.5|2.5,disney
"Star Is Born, A",1937,Drama,3.5,3.0|4.0|3.5,N/A
Make Way for Tomorrow,1937,Drama,3.5,3.5,heartbreaking
Pépé le Moko,1937,Crime,3.25,4.0|2.5,N/A
"Life of Emile Zola, The",1937,Drama,3,3,N/A
King Solomon's Mines,1937,Action,2.5,2.5,N/A
Heidi,1937,Children,2.5,3.0|1.0|3.0|3.0,N/A
"Adventures of Robin Hood, The",1938,Action,4,5.0|4.0|5.0|3.0|2.5|3.5|5.0|4.0,swashbuckler
Alexander Nevsky (Aleksandr Nevskiy),1938,Action,4,5.0|3.0,N/A
Porky in Wackyland,1938,Animation,4,4,N/A
Porky's Hare Hunt,1938,Animation,4,4,N/A
"Lady Vanishes, The",1938,Drama,3.92,5.0|4.0|4.0|4.0|4.0|2.5,train
Bringing Up Baby,1938,Comedy,3.86,5.0|4.0|3.0|3.0|3.0|5.0|4.0|4.5|5.0|3.0|4.0|3.0|4.0|4.0|1.0|5.0|4.0|5.0,leopard|screwball
You Can't Take It with You,1938,Comedy,3.83,3.0|5.0|3.5,N/A
Jezebel,1938,Drama,3.83,4.0|5.0|2.5,oscar (best actress)|bette davis
Angels with Dirty Faces,1938,Crime,3.75,4.0|3.5,N/A
Pygmalion,1938,Comedy,3.5,3.5,george bernard shaw
Boys Town,1938,Drama,3.5,3.5,N/A
Volga - Volga,1938,Comedy,3.5,3.5,N/A
"Christmas Carol, A",1938,Children,3.38,2.0|4.0|3.5|4.0,N/A
Reefer Madness (a.k.a. Tell Your Children),1938,Comedy,3.25,2.5|4.0,N/A
Holiday,1938,Comedy,3,4.0|0.5|4.5,N/A
Mr. Smith Goes to Washington,1939,Drama,4.08,5.0|4.0|4.0|3.5|4.5|4.0|4.0|4.5|5.0|5.0|5.0|2.5|3.0|4.5|4.5|3.5|2.0|5.0,politics
"Women, The",1939,Comedy,4,4.0|4.0|4.0,divorce
Ninotchka,1939,Comedy,4,2.5|3.5|5.0|5.0|4.0|4.0,cold war|russia
Dark Victory,1939,Drama,4,4,terminal illness
Hare-um Scare-um,1939,Animation,4,4,N/A
"Wizard of Oz, The",1939,Adventure,3.88,5.0|5.0|4.0|5.0|5.0|1.5|3.0|2.0|4.0|3.5|3.0|5.0|3.0|4.5|3.0|4.0|3.5|5.0|5.0|4.0|4.0|5.0|4.0|5.0|4.0|3.0|5.0|5.0|1.0|4.0|3.0|3.0|4.0|4.0|4.0|4.0|1.0|5.0|3.5|3.5|5.0|3.5|5.0|2.0|5.0|5.0|4.5|3.0|4.0|3.0|4.5|4.5|5.0|3.0|4.0|3.0|5.0|4.0|3.5|4.0|4.0|4.0|4.0|4.5|3.5|5.0|5.0|1.0|5.0|4.5|4.5|4.5|3.5|5.0|3.0|5.0|3.5|4.0|4.0|3.0|2.0|5.0|4.0|4.0|4.0|3.0|3.0|5.0|2.0|5.0|2.5|3.5,toto|dorothy
Destry Rides Again,1939,Comedy,3.75,4.0|3.5,N/A
"Goodbye, Mr. Chips",1939,Drama,3.67,3.5|3.5|4.0,N/A
Gone with the Wind,1939,Drama,3.64,5.0|3.0|4.5|4.0|3.0|4.0|5.0|3.0|4.0|2.5|4.0|4.5|1.0|3.0|5.0|3.0|3.5|5.0|4.0|5.0|3.0|3.0|2.0|5.0|4.0|3.0|3.0|5.0|4.0|3.0|2.0|1.5|4.0|5.0|4.0|3.5|3.0|2.5|5.0|5.0|4.5|3.0|4.0|4.0|2.0,civil war
"Little Princess, The",1939,Children,3.5,4.0|3.0,N/A
Of Mice and Men,1939,Drama,3.5,4.0|4.0|4.0|3.0|2.5|3.5,N/A
"Rules of the Game, The (La règle du jeu)",1939,Comedy,3.5,3.0|4.0|3.5,N/A
Stagecoach,1939,Action,3.5,4.0|3.5|3.0,N/A
"Hunchback of Notre Dame, The",1939,Drama,3.5,2.5|4.5,disability
Another Thin Man,1939,Comedy,3.5,3.5,nick and nora charles
Wuthering Heights,1939,Drama,3.25,3.5|3.0,N/A
Gunga Din,1939,Adventure,3.17,3.0|4.0|2.5,N/A
Jamaica Inn,1939,Drama,3,3,N/A
Only Angels Have Wings,1939,Adventure,3,3.0|3.0,N/A
Gulliver's Travels,1939,Adventure,3,5.0|3.0|1.0,N/A
Love Affair,1939,Comedy,3,3,N/A
At the Circus,1939,Comedy,3,3,N/A
"Chump at Oxford, A",1940,Comedy,5,5,N/A
Down Argentine Way,1940,Comedy,5,5,N/A
His Girl Friday,1940,Comedy,4.39,4.0|4.0|3.5|5.0|5.0|4.0|5.0|5.0|3.5|5.0|4.0|4.5|4.0|5.0,screwball
"Philadelphia Story, The",1940,Comedy,4.31,5.0|3.0|5.0|4.0|5.0|5.0|5.0|5.0|4.0|5.0|5.0|3.5|5.0|5.0|4.5|4.0|4.0|4.0|5.0|4.0|4.0|4.5|2.0|3.0|4.0|4.0|3.5|5.0|5.0,divorce
Rebecca,1940,Drama,4.17,5.0|4.5|3.5|5.0|5.0|3.0|4.5|5.0|4.0|4.0|4.5|3.0|5.0|2.5|4.0|4.0|4.0|4.5,mrs. dewinter
"Great Dictator, The",1940,Comedy,4.13,3.0|3.5|5.0|4.5|3.0|4.5|4.5|4.0|4.0|5.0|4.0|4.0|4.5|4.5|4.0,nazis
"Grapes of Wrath, The",1940,Drama,4.11,4.5|4.0|5.0|3.5|4.0|4.0|4.0|4.5|3.5,depression|dust bowl
They Drive by Night,1940,Drama,4,4,truckers
"Letter, The",1940,Drama,4,4,in netflix queue
"All This, and Heaven Too",1940,Drama,4,4,N/A
Fantasia,1940,Animation,3.78,5.0|5.0|4.5|5.0|1.0|5.0|4.0|4.0|3.5|3.5|4.5|3.5|4.0|4.0|3.5|4.0|4.0|5.0|4.0|5.0|3.0|3.5|3.5|5.0|4.0|5.0|4.0|3.0|2.0|3.0|4.0|4.0|4.0|5.0|1.5|5.0|3.0|3.5|5.0|3.5|5.0|3.5|3.0|4.5|4.0|1.0|4.0|3.0|4.0|2.5|4.5|3.0|2.0,disney
"Mark of Zorro, The",1940,Adventure,3.75,4.0|3.5,swashbuckler
"Shop Around the Corner, The",1940,Comedy,3.67,2.0|5.0|4.0,remade
Pride and Prejudice,1940,Comedy,3.67,3.5|2.5|5.0,N/A
Foreign Correspondent,1940,Drama,3.5,3.5,war|europe|journalism
I Love You Again,1940,Comedy,3.5,3.5,N/A
Pinocchio,1940,Animation,3.45,5.0|5.0|3.0|2.0|4.5|3.0|5.0|2.0|4.0|4.0|4.0|2.0|4.5|4.0|2.0|3.0|4.0|3.5|4.5|5.0|3.0|3.0|4.0|3.0|2.5|3.0|3.5|3.5|2.5|3.5|4.0|4.0|5.0|4.0|3.5|3.0|3.0|4.0|4.0|4.0|2.0|5.0|5.0|0.5|4.5|2.5|4.0|3.5|1.5|4.0|4.5|3.0|4.0|3.0|4.0|3.5|2.5|2.5|3.0|0.5,disney
Our Town,1940,Drama,3,3,N/A
"Thief of Bagdad, The",1940,Adventure,3,3,N/A
Northwest Passage,1940,Action,3,3,N/A
My Favorite Wife,1940,Comedy,3,3,N/A
Go West,1940,Comedy,3,3,N/A
"Bank Dick, The",1940,Comedy,2.5,2.0|3.0,N/A
"Invisible Man Returns, The",1940,Horror,2.5,2.5,N/A
Flash Gordon Conquers the Universe,1940,Action,1.25,2.0|0.5,N/A
"Maltese Falcon, The",1941,Film-Noir,4.17,4.0|4.0|5.0|4.0|4.0|5.0|5.0|4.0|4.0|5.0|4.5|5.0|4.5|5.0|4.0|4.5|4.0|4.0|4.0|4.5|4.5|3.0|5.0|4.5|3.5|3.5|4.0|4.5|4.0|5.0|4.0|3.0|4.0|3.0|3.5|3.0|4.0|5.0|4.5|3.0|4.5|4.0|3.5|5.0,statue
High Sierra,1941,Crime,4.17,4.5|4.5|3.5,N/A
Citizen Kane,1941,Drama,4.04,5.0|5.0|3.5|5.0|4.0|4.0|5.0|3.0|5.0|1.5|3.5|4.0|4.0|3.5|4.0|4.0|5.0|4.0|5.0|5.0|4.5|5.0|2.5|3.5|5.0|5.0|5.0|4.5|4.0|4.0|2.0|3.0|5.0|1.0|3.5|5.0|1.5|4.0|4.0|5.0|4.5|5.0|5.0|5.0|3.5|4.0|5.0|4.5|4.5|5.0|4.5|4.0|5.0|4.5|3.5|4.0|3.0|4.5|2.0|4.0|4.0|2.5|3.0|4.0|4.0|4.0|5.0|3.5|4.0,rosebud
Penny Serenade,1941,Drama,4,4,adoption
Suspicion,1941,Film-Noir,4,3.0|5.0|3.5|4.5|4.0,paranoia
"Lady Eve, The",1941,Comedy,4,4.0|1.0|5.0|4.0|5.0|4.0|4.0|5.0,gambling
Sullivan's Travels,1941,Adventure,4,4.0|3.5|3.0|4.0|3.5|5.0|5.0,N/A
"Little Foxes, The",1941,Drama,4,4.0|4.0,family
Meet John Doe,1941,Comedy,3.9,4.0|4.0|3.5|4.0|4.0,journalism
Sergeant York,1941,Drama,3.83,3.0|4.0|4.5,N/A
Dr. Jekyll and Mr. Hyde,1941,Drama,3.75,4.0|3.5,N/A
"Wolf Man, The",1941,Drama,3.6,5.0|2.0|4.5|3.0|3.5,N/A
You'll Never Get Rich,1941,Comedy,3.5,3.5,rita hayworth can dance!
Shadow of the Thin Man,1941,Comedy,3.5,3.5,nick and nora charles
Love Crazy,1941,Comedy,3.5,3.5,N/A
Here Comes Mr. Jordan,1941,Comedy,3.5,3.5,N/A
Dumbo,1941,Animation,3.39,5.0|4.5|3.0|4.0|4.0|2.5|4.0|3.0|3.0|4.0|3.5|3.0|3.5|2.0|4.0|3.5|3.0|2.0|4.0|2.0|4.0|2.5|3.0|3.0|4.0|3.0|4.0|2.0|5.0|3.0|5.0|4.0|1.5|3.5|3.5,disney
Mr. & Mrs. Smith,1941,Comedy,2.88,3.5|2.5|2.5|3.0,N/A
Tales of Manhattan,1942,Comedy,5,5,N/A
Casablanca,1942,Drama,4.24,5.0|4.0|3.5|3.5|5.0|5.0|5.0|3.0|5.0|5.0|4.0|4.5|4.5|4.5|4.0|4.0|4.0|5.0|4.0|5.0|5.0|3.0|4.0|5.0|4.0|5.0|4.5|5.0|5.0|4.0|5.0|5.0|5.0|2.5|3.5|4.5|5.0|5.0|3.5|1.5|3.0|4.0|4.5|4.0|3.5|5.0|3.5|5.0|4.0|5.0|4.0|3.0|5.0|5.0|3.0|4.5|5.0|1.0|4.5|4.5|5.0|5.0|5.0|4.0|5.0|5.0|5.0|4.0|4.0|5.0|4.0|4.0|5.0|4.5|3.0|4.0|5.0|5.0|5.0|4.0|4.5|4.0|4.5|3.0|4.0|3.0|4.0|5.0|4.0|5.0|5.0|0.5|5.0|5.0|4.0|2.5|4.0|5.0|4.5|3.5,start of a beautiful friendship
"Palm Beach Story, The",1942,Comedy,4.1,5.0|4.0|4.5|2.5|4.5,screwball
Mrs. Miniver,1942,Drama,4,4.0|3.0|5.0,N/A
"Talk of the Town, The",1942,Comedy,4,4,in netflix queue
Yankee Doodle Dandy,1942,Drama,4,4.0|4.0,biopic
Woman of the Year,1942,Comedy,4,4.0|4.0,marriage|hepburn and tracy
Cat People,1942,Drama,4,4,sexuality
"Man Who Came to Dinner, The",1942,Comedy,4,4,N/A
Random Harvest,1942,Drama,4,3.5|4.5,made me cry
Saboteur,1942,Mystery,3.88,5.0|3.0|4.0|3.5,N/A
"Now, Voyager",1942,Drama,3.67,4.5|4.0|2.5,psychology
Holiday Inn,1942,Comedy,3.63,2.0|4.0|4.0|2.0|5.0|3.0|4.0|5.0,N/A
"Magnificent Ambersons, The",1942,Drama,3.5,4.0|3.0,N/A
Road to Morocco,1942,Comedy,3.5,3.5,N/A
"Pride of the Yankees, The",1942,Drama,3.5,4.0|2.5|4.0,lou gehrig|baseball
"Major and the Minor, The",1942,Comedy,3.5,3.5,N/A
Johnny Eager,1942,Crime,3.5,3.5,N/A
Bambi,1942,Animation,3.37,5.0|0.5|4.0|3.0|2.5|3.5|3.0|3.5|3.5|5.0|3.5|3.0|4.0|4.0|1.5|3.5|3.0|3.0|4.0|2.5|5.0|3.0|2.5|4.0|3.5|4.0|3.0|3.5|4.5|3.0|3.0|4.0|1.5|4.0|5.0|3.0|3.0|3.0,N/A
Flying Tigers,1942,Action,3,4.0|2.0,N/A
Sherlock Holmes and the Secret Weapon,1942,Crime,3,3,N/A
To Be or Not to Be,1942,Comedy,2.5,0.5|3.0|4.0,N/A
"Ox-Bow Incident, The",1943,Drama,4.5,4.5,in netflix queue
"Corbeau, Le (Raven, The)",1943,Crime,4.25,4.5|4.0,N/A
Shadow of a Doubt,1943,Crime,4.14,4.0|3.0|4.0|5.0|4.0|5.0|4.0,small towns
Watch on the Rhine,1943,Drama,4,4,world war ii
Day of Wrath (Vredens dag),1943,Drama,4,4.0|4.0,N/A
For Whom the Bell Tolls,1943,Adventure,3.75,4.0|3.5,N/A
"Song of Bernadette, The",1943,Drama,3,3,N/A
Meshes of the Afternoon,1943,Fantasy,3,3,N/A
I Walked with a Zombie,1943,Drama,2,3.5|0.5,N/A
Frankenstein Meets the Wolf Man,1943,Horror,1,1,N/A
Jane Eyre,1944,Drama,5,5,N/A
Mr. Skeffington,1944,Drama,5,5,N/A
Lifeboat,1944,Drama,4.36,5.0|4.0|5.0|3.0|5.0|4.5|4.0,survival
Laura,1944,Crime,4.33,4.0|4.0|5.0|4.0|4.0|5.0,N/A
Double Indemnity,1944,Crime,4.32,3.5|4.0|4.0|5.0|4.5|5.0|5.0|4.0|5.0|5.0|4.0|4.0|2.5|4.0|4.0|5.0|5.0,insurance
Gaslight,1944,Drama,4.14,3.0|5.0|4.0|5.0|3.5|3.5|5.0,brooch
Meet Me in St. Louis,1944,Musical,4.1,3.0|3.5|4.0|4.0|4.0|5.0|5.0|3.5|5.0|4.0,1900s
"Princess and the Pirate, The",1944,Adventure,4,4,N/A
Arsenic and Old Lace,1944,Comedy,3.88,4.0|4.0|5.0|3.5|4.0|2.5|4.5|4.0|3.0|4.0|4.0|4.5|4.5|4.0|3.5|4.5|4.5|5.0|5.0|4.0|3.5|3.0|0.5|4.0|5.0|3.0|3.5|3.5|4.5,murder
National Velvet,1944,Children,3.75,4.0|3.5,horses
"Children Are Watching Us, The (Bambini ci guardano, I)",1944,Drama,3.5,3.5,N/A
"Fighting Seabees, The",1944,Action,3.5,4.0|3.0,N/A
To Have and Have Not,1944,Adventure,3.5,2.5|4.5|3.5|3.5,N/A
Dragon Seed,1944,Drama,3.5,3.5,N/A
"Miracle of Morgan's Creek, The",1944,Comedy,3.5,3.5,N/A
Going My Way,1944,Comedy,3.25,3.0|3.5,N/A
"Body Snatcher, The",1945,Drama,4.5,4.5,N/A
"Lost Weekend, The",1945,Drama,4,4.0|4.0|4.0,alcoholism
Mildred Pierce,1945,Drama,4,4,motherhood
The Spiral Staircase,1945,Horror,4,4.0|4.0,disability
"Rome, Open City (a.k.a. Open City) (Roma, città aperta)",1945,Drama,4,4.0|4.0,in netflix queue
Spellbound,1945,Mystery,3.83,4.0|3.0|3.0|4.0|4.0|3.5|3.0|5.0|5.0,amnesia
"Three Caballeros, The",1945,Animation,3.67,5.0|4.0|2.0|4.0|3.0|4.0,N/A
And Then There Were None,1945,Crime,3.63,3.0|5.0|3.0|3.5,in netflix queue
Detour,1945,Crime,3.5,3.5|3.5,N/A
"Bells of St. Mary's, The",1945,Drama,3.5,3.5,N/A
"Thin Man Goes Home, The",1945,Comedy,3.5,3.5,nick and nora charles
Sherlock Holmes: The Woman in Green,1945,Mystery,3.5,3.5,N/A
Anchors Aweigh,1945,Comedy,3.2,3.5|4.0|3.5|1.0|4.0,N/A
"Objective, Burma!",1945,War,3,3,N/A
"Picture of Dorian Gray, The",1945,Drama,2,3.5|0.5,N/A
Dead of Night,1945,Horror,0.5,0.5,N/A
Duel in the Sun,1946,Drama,5,5,N/A
Notorious,1946,Film-Noir,4.25,5.0|3.0|5.0|5.0|4.0|4.0|4.0|4.0|4.5|5.0|4.0|4.0|5.0|4.0|4.0|4.0|4.0|4.0|4.0|4.5,assassination
